"","flight_no","aircraft","origin","sch_dep_time","est_arr_time","city","tiempo1"
"191"," AMX223","E190","General Roberto Fierro Villalobos Int'l (CUU / MMCU)","Wed 02:45PM MST","Wed 05:51PM CST","Mexico City",28
"192"," BAW243","B789","London Heathrow (LHR / EGLL)","Wed 01:00PM GMT","Wed 06:01PM CST","Mexico City",10
"193"," VOI788","A320","Manuel Crescencio Rejon Int'l (MID / MMMD)","Wed 02:52PM CST","Wed 06:19PM CST","Mexico City",10
"194"," SLI259","E190","Abraham Gonzalez Int'l (CJS / MMCS)","Wed 02:45PM MST","Wed 05:57PM CST","Mexico City",15
"195"," DLH498","B748","Frankfurt Int'l (FRA / EDDF)","Wed 01:40PM CET","Wed 06:08PM CST","Mexico City",17
"197"," AVA22","A320","El Dorado Int'l (BOG / SKBO)","Wed 02:39PM -05","Wed 06:32PM CST","Mexico City",28
"198"," AMX409","B788","John F Kennedy Intl (KJFK)","Wed 03:10PM EST","Wed 06:38PM CST","Mexico City",15
"200"," AMX687","B738","Chicago O'Hare Intl (KORD)","Wed 03:30PM CST","Wed 07:10PM CST","Mexico City",17
"203"," TNO4112","","El Dorado Int'l (BOG / SKBO)","Wed 02:25PM -05","Wed 07:10PM CST","Mexico City",139
"204"," AMX431","B737","Detroit Metro Wayne Co (KDTW)","Wed 04:10PM EST","Wed 08:01PM CST","Mexico City",15
"205"," AMX2","B789","Barajas Int'l (MAD / LEMD)","Wed 02:50PM CET","Wed 08:05PM CST","Mexico City",19
"206"," AIJ2997","A320","John F Kennedy Intl (KJFK)","Wed 04:50PM EST","Wed 09:10PM CST","Mexico City",21
"209"," QTR8177","B77L","Zaragoza (ZAZ / LEZG)","Wed 08:20PM CET","Thu 12:49AM CST","Mexico City",14
"211"," SLI9000","E90","Salt Lake City Intl (KSLC)","Wed 01:55PM MST","Wed 06:22PM CST","Guadalajara",27
"212"," VOI903","A320","Metropolitan Oakland Intl (KOAK)","Wed 01:25PM PST","Wed 06:46PM CST","Guadalajara",11
"215"," SLI2719","E190","Salt Lake City Intl (KSLC)","Wed 01:55PM MST","Wed 06:32PM CST","Guadalajara",27
"216"," ASA226","B739","San Jose Int'l (KSJC)","Wed 01:45PM PST","Wed 07:27PM CST","Guadalajara",37
